epoch,acc,loss,val_acc,val_loss
0,0.3367585077860532,1.7563716667756222,0.42184453495168595,1.5611957871679742
1,0.44250931763662277,1.492699543354076,0.46726108616849577,1.4396005775089233
2,0.48263610714410116,1.3806865179840602,0.48606855427240653,1.3906436320150353
3,0.5052770908087987,1.321869460395928,0.4891334751163661,1.3456791827803403
4,0.5215785990466335,1.2797559016948998,0.5314851054580771,1.259044333311526
5,0.5312271413187227,1.2491748735670418,0.505711909477991,1.4007676570442982
6,0.5419206520644818,1.2203398259556644,0.5436054733648011,1.2212074546947325
7,0.5535198021531541,1.1974838758910968,0.5504318878540391,1.2050745142273467
8,0.5564805461743428,1.182800802920753,0.5246586914587632,1.25155808989817
9,0.5593367933442199,1.1657436811677748,0.5408191820453488,1.2445601136245894
10,0.5641088160517539,1.1527448759262013,0.5422123274466194,1.2786625248288404
11,0.5743843394078374,1.1353770903278873,0.5483421691345385,1.2381769406073901
12,0.5768574314685222,1.12764624488977,0.5468097089097739,1.211979045100068
13,0.5803058274450246,1.1164604545453445,0.5734187923257614,1.1378690875925521
14,0.587516109934836,1.1011723241128701,0.5665923786274601,1.1515960152989877
15,0.588386916998823,1.097381685946843,0.5714683882532993,1.156005684690128
16,0.5948657215528094,1.0879857700203002,0.5720256467335036,1.1565920745232006
17,0.6001950607833711,1.0774726803729873,0.5487601124736285,1.2436384938472524
18,0.596885993941259,1.075348770752559,0.5881861369817095,1.1208853498817437
19,0.6021456686067018,1.0623573783157454,0.5951518659186947,1.0962107975765603
